side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,utility_balancer_vs_utility_opportunist,utility_balancer,utility_opportunist,enemy,full_board_majority,24,23,12,12,17,20,16,19,0,33,22,20,2,64,1,6,2,14,19,8,32,0,7,14,14,32,1,7,33,40,12,60,38,5,4,12,12,12,12,0,27,62,3
4,37,utility_rusher_vs_phase_player,utility_rusher,phase_player,player,territory,23,23,12,11,23,8,22,7,6,27,58,45,13,20,4,10,2,14,18,33,7,0,7,9,25,13,4,7,22,28,26,0,36,16,12,12,6,11,12,10,6,7,2
4,37,utility_rusher_vs_rusher,utility_rusher,rusher,player,territory,25,23,13,12,23,9,22,8,5,28,55,48,7,13,1,7,2,41,19,25,13,1,10,9,30,0,0,31,11,21,25,0,0,79,0,10,7,4,4,12,4,6,2
4,37,utility_rusher_vs_utility_balancer,utility_rusher,utility_balancer,player,territory,19,23,10,9,23,11,22,10,3,30,41,37,4,17,1,4,2,16,14,26,4,0,10,16,15,13,1,6,41,29,2,14,11,8,12,12,6,12,12,11,10,13,3
4,37,utility_rusher_vs_utility_rusher,utility_rusher,utility_rusher,enemy,full_board_majority,19,23,10,9,18,19,17,18,0,33,40,34,6,16,0,5,2,17,16,18,10,0,9,17,22,6,0,8,35,17,6,11,34,9,12,4,2,4,12,8,7,10,2
4,37,utility_rusher_vs_utility_economist,utility_rusher,utility_economist,player,territory,19,23,10,9,23,12,22,11,2,31,44,38,6,12,2,7,2,13,15,25,5,2,7,16,19,7,0,6,27,29,13,9,25,7,8,12,4,12,12,9,5,6,2
4,37,utility_rusher_vs_utility_fortifier,utility_rusher,utility_fortifier,player,territory,17,23,9,8,23,7,22,6,7,26,38,31,7,11,0,5,2,17,12,26,4,0,5,14,12,7,0,12,20,11,12,0,25,0,12,12,4,5,12,6,4,4,1
4,37,utility_rusher_vs_utility_aggro_turtle,utility_rusher,utility_aggro_turtle,player,territory,16,23,8,8,23,9,22,8,5,28,33,28,5,12,0,9,2,12,13,22,4,0,5,15,11,8,0,7,10,8,16,0,12,0,0,12,6,11,0,0,7,7,1
4,37,utility_rusher_vs_utility_opportunist,utility_rusher,utility_opportunist,player,full_board_majority,17,23,9,8,22,15,21,14,0,33,29,25,4,14,0,5,2,16,17,17,5,0,9,16,12,9,0,7,11,23,6,0,17,7,0,12,6,11,12,12,7,10,2
4,37,utility_economist_vs_phase_player,utility_economist,phase_player,enemy,full_board_majority,20,23,10,10,16,21,15,20,0,33,38,27,11,27,2,5,2,11,21,10,18,1,5,12,28,9,1,6,12,6,7,3,11,57,7,12,8,12,12,6,12,15,3
