policy,wins,slots,win_rate,draws,avg_rounds,as_player,as_enemy,player_wins,enemy_wins,fortify,rebuild,build,raid,wait,korn_waste,avg_final_controlled,top_win_reason,top_loss_reason
utility_rusher,30,32,0.94,0,33.94,16,16,15,15,366,23,644,1827,255,4369,28.38,territory:17,full_board_majority:2
utility_balancer,0,4,0.00,0,23.00,2,2,0,0,38,1,97,79,34,108,14.75,-,territory:3
utility_aggro_turtle,0,4,0.00,0,30.75,2,2,0,0,69,0,95,152,31,439,19.75,-,full_board_majority:3
utility_economist,0,4,0.00,0,33.25,2,2,0,0,49,2,95,189,26,212,15.50,-,territory:4
utility_fortifier,0,4,0.00,0,34.75,2,2,0,0,54,0,94,212,36,433,18.00,-,territory:2
phase_player,0,4,0.00,0,35.50,2,2,0,0,100,13,64,146,38,739,12.00,-,territory:4
rusher,0,4,0.00,0,35.50,2,2,0,0,0,0,54,180,177,502,11.25,-,territory:3
utility_opportunist,0,4,0.00,0,47.75,2,2,0,0,68,1,96,359,28,596,21.50,-,full_board_majority:4
