policy,wins,slots,win_rate,draws,avg_rounds,as_player,as_enemy,player_wins,enemy_wins,fortify,rebuild,build,raid,wait,korn_waste,avg_final_controlled,top_win_reason,top_loss_reason
utility_rusher,30,32,0.94,0,33.94,16,16,15,15,366,23,644,1827,255,4369,28.38,territory:17,full_board_majority:2
rusher,22,32,0.69,1,50.84,16,16,10,12,0,9,513,2899,1302,14283,23.88,full_board_majority:12,territory:4
utility_opportunist,21,32,0.66,0,39.00,16,16,10,11,1379,24,750,1201,215,3770,24.53,full_board_majority:21,full_board_majority:10
phase_player,18,32,0.56,0,43.12,16,16,9,9,850,144,618,1789,316,11580,23.69,full_board_majority:14,full_board_majority:8
utility_economist,11,32,0.34,1,35.44,16,16,6,5,1112,35,771,1020,196,3861,22.53,full_board_majority:11,full_board_majority:15
utility_balancer,9,32,0.28,0,32.59,16,16,6,3,1150,51,769,712,253,3168,22.22,full_board_majority:8,full_board_majority:16
utility_aggro_turtle,9,32,0.28,0,34.09,16,16,5,4,1198,79,751,805,238,3392,22.78,full_board_majority:8,full_board_majority:18
utility_fortifier,7,32,0.22,0,36.22,16,16,4,3,1178,52,765,1021,241,3894,22.41,full_board_majority:6,full_board_majority:21
