side_length,board_size,matchup,winner,reason,round,p_controlled,e_controlled,neutral,p_build,e_build,p_raid,e_raid,p_wait,e_wait,raid_takeovers,raid_absorbed,p_korn_waste,e_korn_waste,report
5,61,rusher_vs_rusher,,none,121,22,31,8,29,20,212,221,105,103,433,0,784,1856,analysis/reports/stall_diagnostics_v0_5_6i2/stall_diag_s5_rusher_vs_rusher.txt
5,61,rusher_vs_utility_economist,,none,121,29,28,4,21,32,239,124,99,8,254,109,1199,594,analysis/reports/stall_diagnostics_v0_5_6i2/stall_diag_s5_rusher_vs_utility_economist.txt
5,61,rusher_vs_utility_opportunist,player,full_board_majority,73,33,28,0,23,34,167,108,28,5,224,51,754,394,analysis/reports/stall_diagnostics_v0_5_6i2/stall_diag_s5_rusher_vs_utility_opportunist.txt
5,61,utility_opportunist_vs_rusher,player,full_board_majority,89,31,30,0,36,21,86,197,5,44,179,104,394,739,analysis/reports/stall_diagnostics_v0_5_6i2/stall_diag_s5_utility_opportunist_vs_rusher.txt
