side_length,board_size,matchup,winner,reason,round,p_controlled,e_controlled,neutral,p_build,e_build,p_raid,e_raid,p_wait,e_wait,raid_takeovers,raid_absorbed,p_korn_waste,e_korn_waste,report
5,61,rusher_vs_utility_opportunist,player,full_board_majority,73,33,28,0,23,34,167,108,28,5,224,51,754,394,analysis/reports/stall_diagnostics_v0_5_6h1/stall_diag_s5_rusher_vs_utility_opportunist.txt
5,61,utility_rusher_vs_utility_fortifier,player,full_board_majority,68,33,28,0,24,33,158,141,5,5,285,14,440,294,analysis/reports/stall_diagnostics_v0_5_6h1/stall_diag_s5_utility_rusher_vs_utility_fortifier.txt
5,61,utility_rusher_vs_utility_aggro_turtle,player,full_board_majority,48,34,27,0,26,31,87,71,5,6,136,22,270,266,analysis/reports/stall_diagnostics_v0_5_6h1/stall_diag_s5_utility_rusher_vs_utility_aggro_turtle.txt
5,61,utility_rusher_vs_utility_opportunist,player,full_board_majority,75,33,28,0,24,33,178,154,10,5,313,19,527,374,analysis/reports/stall_diagnostics_v0_5_6h1/stall_diag_s5_utility_rusher_vs_utility_opportunist.txt
5,61,utility_opportunist_vs_rusher,player,full_board_majority,89,31,30,0,36,21,86,197,5,44,179,104,394,739,analysis/reports/stall_diagnostics_v0_5_6h1/stall_diag_s5_utility_opportunist_vs_rusher.txt
5,61,utility_opportunist_vs_utility_rusher,enemy,full_board_majority,81,27,34,0,29,28,182,193,7,8,362,13,211,558,analysis/reports/stall_diagnostics_v0_5_6h1/stall_diag_s5_utility_opportunist_vs_utility_rusher.txt
